timestamp_unix_s,timestamp_perf_s,sensor1_x,sensor2_x,sensor3_x,sensor4_x,sensor5_x,sensor6_x,sensor7_x,sensor8_x,sensor1_y,sensor2_y,sensor3_y,sensor4_y,sensor5_y,sensor6_y,sensor7_y,sensor8_y,sensor1_z,sensor2_z,sensor3_z,sensor4_z,sensor5_z,sensor6_z,sensor7_z,sensor8_z,sensor1_mag,sensor2_mag,sensor3_mag,sensor4_mag,sensor5_mag,sensor6_mag,sensor7_mag,sensor8_mag
1781981617.5178902,47611.099682956,0.0,-4341.60009765625,0.0,5498.400390625,-1816.800048828125,2184.0,-938.4000244140625,-5428.80029296875,0.0,-3278.400146484375,0.0,3026.400146484375,206.40000915527344,4476.0,-600.0,2407.2001953125,0.0,-2582.6240234375,0.0,-7368.416015625,484.0,1982.4639892578125,-2567.135986328125,8243.48828125,0.0,6022.237605315323,0.0,9679.104260291073,1891.4595901581333,5360.465974960012,2798.353404793824,10159.802382150758
1781981617.5340078,47611.115801115,0.0,-4339.2001953125,0.0,5493.60009765625,-1812.0001220703125,2181.60009765625,-938.4000244140625,-5426.400390625,0.0,-3285.60009765625,0.0,3024.0,211.20001220703125,4473.60009765625,-604.800048828125,2407.2001953125,0.0,-2582.6240234375,0.0,-7376.16015625,487.87200927734375,1974.719970703125,-2567.135986328125,8243.48828125,0.0,6024.43135765985,0.0,9681.526567831066,1888.377341787226,5354.623776003084,2799.386518004202,10158.520218161391
1781981617.549295,47611.131087168,0.0,-4341.60009765625,0.0,5493.60009765625,-1812.0001220703125,2181.60009765625,-938.4000244140625,-5426.400390625,0.0,-3285.60009765625,0.0,3031.2001953125,208.8000030517578,4473.60009765625,-604.800048828125,2407.2001953125,0.0,-2582.6240234375,0.0,-7376.16015625,487.87200927734375,1978.592041015625,-2567.135986328125,8243.48828125,0.0,6026.160158519189,0.0,9683.777946012668,1888.110426085708,5356.052957599854,2799.386518004202,10158.520218161391
1781981617.5753,47611.1570924,0.0,-4339.2001953125,0.0,5493.60009765625,-1816.800048828125,2181.60009765625,-940.800048828125,-5426.400390625,0.0,-3285.60009765625,0.0,3026.400146484375,206.40000915527344,4471.2001953125,-602.4000244140625,2409.60009765625,0.0,-2582.6240234375,0.0,-7372.2880859375,484.0,1982.4639892578125,-2567.135986328125,8239.6162109375,0.0,6024.43135765985,0.0,9679.327016981368,1891.4595901581333,5355.48071057681,2799.6745692294203,10155.947475914998
1781981617.5894008,47611.171193222,0.0,-4336.80029296875,0.0,5496.0,-1816.800048828125,2179.2001953125,-936.0000610351562,-5428.80029296875,0.0,-3283.2001953125,0.0,3031.2001953125,208.8000030517578,4471.2001953125,-604.800048828125,2407.2001953125,0.0,-2578.751953125,0.0,-7372.2880859375,484.0,1974.719970703125,-2571.008056640625,8239.6162109375,0.0,6019.734374483634,0.0,9682.190983765944,1891.7229867758892,5351.641209994026,2802.1351931395675,10156.660903308437
1781981617.6161618,47611.19795499,0.0,-4339.2001953125,0.0,5493.60009765625,-1814.4000244140625,2179.2001953125,-940.800048828125,-5428.80029296875,0.0,-3288.000244140625,0.0,3031.2001953125,204.00001525878906,4471.2001953125,-604.800048828125,2402.400146484375,0.0,-2582.6240234375,0.0,-7372.2880859375,484.0,1982.4639892578125,-2567.135986328125,8235.744140625,0.0,6025.740683675771,0.0,9680.82890454569,1888.8937118904644,5354.50353875283,2800.1919582839996,10152.383002753824
1781981617.6268568,47611.208649374,0.0,-4344.0,0.0,5491.2001953125,-1812.0001220703125,2179.2001953125,-933.6000366210938,-5424.0,0.0,-3283.2001953125,0.0,3026.400146484375,208.8000030517578,4471.2001953125,-600.0,2407.2001953125,0.0,-2578.751953125,0.0,-7368.416015625,484.0,1978.592041015625,-2571.008056640625,8243.48828125,0.0,6024.923332146729,0.0,9675.015866186457,1887.1136382468442,5353.071187886721,2800.302029369316,10157.238198615734
1781981617.6412375,47611.223030755,0.0,-4334.400390625,0.0,5496.0,-1816.800048828125,2176.800048828125,-940.800048828125,-5428.80029296875,0.0,-3280.800048828125,0.0,3026.400146484375,204.00001525878906,4473.60009765625,-604.800048828125,2409.60009765625,0.0,-2578.751953125,0.0,-7372.2880859375,480.12799072265625,1974.719970703125,-2567.135986328125,8243.48828125,0.0,6016.696547307898,0.0,9680.68930751817,1890.2119751823705,5352.669917809419,2800.1919582839996,10160.371267560486
1781981617.6535425,47611.235334734,0.0,-4336.80029296875,0.0,5496.0,-1814.4000244140625,2176.800048828125,-938.4000244140625,-5426.400390625,0.0,-3283.2001953125,0.0,3028.800048828125,208.8000030517578,4473.60009765625,-604.800048828125,2407.2001953125,0.0,-2574.8798828125,0.0,-7372.2880859375,487.87200927734375,1978.592041015625,-2574.8798828125,8239.6162109375,0.0,6018.076662398576,0.0,9681.439839085779,1890.41370797624,5354.099620953883,2806.4896429160985,10155.378342692691
1781981617.6674535,47611.249246702,0.0,-4339.2001953125,0.0,5496.0,-1812.0001220703125,2179.2001953125,-933.6000366210938,-5426.400390625,0.0,-3280.800048828125,0.0,3031.2001953125,204.00001525878906,4471.2001953125,-604.800048828125,2404.800048828125,0.0,-2582.6240234375,0.0,-7372.2880859375,487.87200927734375,1982.4639892578125,-2578.751953125,8247.3603515625,0.0,6021.814854495874,0.0,9682.190983765944,1887.5856393935417,5354.50353875283,2808.443298909097,10161.09429356622
