Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
0.11,-2,-48,11,78640,78640,126873,-199,136,-85,78640,78640,126873
0.21,-7,-43,11,-148,-50,19,-204,136,-77,-72,52,34
0.26,-2,-48,11,-151,-50,11,-199,139,-85,-74,50,38
0.32,-4,-43,11,-144,-50,15,-206,136,-81,-72,50,30
0.37,2,-5,8,-2,-5,-8,0,3,-8,-4,-2,-4
0.41,-2,-2,4,-2,0,-4,3,-2,-4,3,0,-4
0.45,0,-2,12,0,-5,0,3,0,-4,0,5,-8
0.49,0,-2,0,-2,-5,-12,0,0,0,-2,0,-4
0.55,-5,-7,4,-4,-7,-4,0,0,-8,0,-2,-4
0.60,0,-2,0,-2,0,-12,0,0,-4,3,0,-8
0.63,0,-2,0,-7,2,-4,5,5,-4,-2,0,-4
0.67,-2,-2,4,-2,-2,-4,3,-2,0,3,-2,-8
0.73,-5,-2,0,-2,5,-4,0,3,-4,3,-2,0
0.76,0,-2,8,0,-2,0,3,0,0,3,0,0
0.80,-5,0,8,-4,0,-4,5,0,-4,-2,0,-4
0.85,-5,-5,8,0,-2,-4,0,0,-12,-2,-2,-4
0.90,-2,-2,12,3,-2,0,3,-2,-8,-2,0,-4
0.94,2,-5,8,-2,0,-4,0,-4,-4,3,0,0
0.98,2,-2,4,-2,0,0,3,3,-8,3,-2,4
1.03,-2,-2,4,-4,-2,-8,8,3,-4,3,0,0
1.07,2,-5,8,-7,-2,-4,3,0,-8,3,-2,-4
1.11,0,0,12,-2,-7,-4,3,-2,-4,0,0,-4
1.16,0,-2,4,-2,-2,-4,3,3,-4,5,-5,-4
1.21,0,0,4,0,2,-4,5,0,4,0,2,0
1.26,4,-5,0,-2,0,-4,5,0,-4,0,0,-4
1.32,2,-2,0,-2,0,-4,5,-2,-4,-2,0,-8
1.35,-5,0,4,-2,0,-8,3,-2,-4,0,-2,-4
1.39,0,-2,8,-2,-2,0,0,-4,-4,3,5,0
1.44,-2,0,4,0,-5,-8,3,-2,-8,-2,-2,0
1.48,0,-2,8,-4,0,-4,3,3,-12,0,0,0
1.52,-2,-2,8,-4,-2,-12,5,3,-4,5,-2,-4
1.57,0,-2,8,-2,-2,-4,0,3,-4,3,2,4
1.62,0,-5,4,-2,2,0,3,0,-4,3,-5,-4
1.67,-2,-5,-4,0,-2,0,-2,0,0,0,-2,-4
1.73,-2,-2,0,0,0,-4,0,0,-8,-2,-5,4
1.76,0,-2,8,-7,-2,0,3,0,-4,0,0,0
1.80,0,-2,4,0,0,-4,3,0,-4,0,-5,-4
1.85,-2,-5,8,-7,0,0,3,3,-4,-4,0,-4
1.90,0,-2,12,-2,-2,-16,3,0,0,-2,0,-8
1.95,-2,-5,0,0,0,-12,5,-2,4,-2,0,-11
1.98,4,-2,4,-7,-5,-4,3,0,-4,3,2,-8
2.03,2,0,0,-2,2,0,0,-2,-4,0,-2,-4
2.08,-2,0,4,-4,-2,-4,0,3,-4,-2,-2,-8
