Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
3.99,0,4,6,0,2,3,-3,-2,4,2,-2,-4
4.02,2,2,3,-3,-5,0,-3,-5,4,-3,-2,0
4.07,0,2,0,0,-3,0,-5,-2,0,4,-2,0
4.10,2,0,-4,0,-3,3,-3,0,4,2,-2,-4
4.13,2,-3,-8,0,0,6,-3,2,4,0,-2,0
4.17,-3,-3,3,0,-3,0,-3,-2,0,2,0,-8
4.20,-3,0,0,2,-3,3,0,0,0,0,-2,-4
4.23,2,2,0,-3,-5,6,-3,0,0,2,0,-8
4.28,2,2,-12,0,2,0,-3,0,0,2,-2,-4
4.31,4,2,-4,0,-5,10,-3,0,8,0,-5,7
4.34,2,9,3,0,-3,0,0,-5,0,-3,0,-8
4.38,0,0,3,2,0,3,2,0,4,2,0,-4
4.41,0,0,-4,0,0,0,-3,0,4,2,-5,0
4.46,0,0,0,-8,-5,6,-3,-2,8,2,0,-4
4.49,4,0,-8,-5,-5,0,-7,-2,8,0,-5,-8
4.54,-3,4,3,-3,-5,0,0,0,0,2,-2,-4
4.57,0,4,-12,0,-3,3,-3,0,8,0,-5,-4
4.60,0,7,0,0,-3,0,-5,-2,8,4,0,0
4.65,-3,0,0,-5,-3,3,0,2,0,4,0,-4
4.68,0,2,3,2,-5,14,0,-5,-4,2,-2,0
4.70,0,0,3,0,-5,0,0,0,4,2,0,-4
4.75,0,2,0,-3,-3,0,2,0,4,0,3,-8
4.78,2,9,0,-5,-3,10,5,-2,0,0,0,-4
4.81,4,4,3,2,-3,3,-3,0,0,2,3,4
4.86,0,2,-4,0,-5,3,-3,-2,4,2,-2,-4
4.89,2,4,-8,0,0,3,2,0,-4,2,-2,-4
4.92,0,0,6,0,0,3,-5,-2,8,2,0,-12
4.94,2,0,-8,-3,-5,6,-5,-2,0,2,0,-4
4.99,0,4,-4,-5,-5,6,-5,-2,0,4,-2,-4
5.02,-3,0,3,-3,0,-4,-3,0,4,4,0,-4
5.05,0,2,-4,0,-8,3,0,-2,4,2,-2,-8
5.10,2,9,-4,-3,-5,6,2,0,-4,4,-5,0
5.13,2,2,6,-3,0,6,-3,-2,8,2,-2,0
5.18,2,2,3,-3,2,-4,2,2,8,2,-5,0
5.21,2,2,-4,0,-3,6,0,-2,8,2,0,0
5.24,2,2,3,0,-3,0,-5,-5,0,0,0,-8
5.26,0,2,0,-3,-3,6,-3,0,8,0,0,-8
5.31,4,0,-8,-3,-5,6,-3,-2,4,0,-2,-4
5.35,2,4,0,2,0,6,-3,-2,0,0,0,-4
5.39,0,2,6,-3,-5,3,-3,-2,4,2,-2,-8
5.42,2,4,3,-3,2,0,-3,0,4,2,0,-4
5.45,0,2,-4,-3,-3,3,-5,-5,4,0,-5,0
5.50,2,4,0,-5,-3,6,-7,-2,8,2,0,-4
5.53,6,2,6,0,0,3,0,-5,4,2,0,0
5.56,2,7,-4,0,-5,6,0,0,4,2,-2,-4
5.60,2,4,-8,0,2,0,-3,-5,4,2,-2,-8
5.63,0,0,-12,-3,-5,10,-5,-2,8,2,0,-4
5.66,2,2,0,-3,-5,10,0,0,4,7,-2,-4
5.71,0,0,-8,-3,-3,0,-3,0,4,4,-2,0
5.74,-8,2,3,0,-5,6,-3,-2,4,2,-2,7
5.77,0,4,0,0,-8,0,2,0,8,0,5,-4
5.82,-5,-3,0,-8,-3,6,-3,-2,4,4,0,-4
5.85,2,-3,0,0,-3,3,-3,-5,4,2,0,-4
5.89,-3,2,-4,0,-3,0,2,2,-4,4,0,0
5.92,4,2,6,-3,-3,10,0,0,0,2,-2,0
5.96,4,2,-4,-5,0,3,-3,-2,4,4,-2,-4
6.00,2,4,3,0,-3,3,0,-2,-8,2,3,-8
6.03,2,0,0,2,-3,0,-5,-5,0,4,-5,0
6.06,0,4,-4,-5,-3,0,0,-2,0,0,3,-8
6.11,-3,2,3,-3,0,3,0,0,0,2,3,-4
6.14,0,2,-8,-3,-3,3,-3,-2,4,2,0,4
6.17,2,2,3,-3,0,10,0,-2,-4,4,0,0
6.21,2,7,0,-3,0,-4,-3,-2,0,2,0,-4
6.25,2,4,0,-5,-3,3,2,0,8,-3,-2,4
6.30,0,4,3,0,2,0,0,2,0,4,-2,-4
6.32,0,2,-4,-3,-3,6,-3,0,4,7,-2,-4
6.37,-3,2,-4,0,-3,3,2,2,0,4,-2,0
6.40,2,-3,0,0,-3,3,0,-2,4,2,0,4
6.43,0,2,-12,-3,-3,6,-3,-5,4,4,0,-4
6.46,2,4,-4,-3,-3,3,0,0,0,2,-2,-8
6.50,0,2,-4,0,-3,6,-3,-5,4,0,-2,0
6.53,2,4,0,0,-3,3,-7,0,0,2,-2,-8
6.56,0,4,-4,-3,-3,6,0,-2,4,0,0,0
6.59,0,4,0,0,-3,6,0,-2,8,2,-2,0
6.63,-3,0,-4,-5,0,3,0,-2,8,2,-2,0
6.66,2,2,0,-3,-3,3,0,0,-4,2,3,-4
6.71,0,2,0,-5,2,6,-3,0,4,0,0,-4
6.74,0,2,0,-5,0,3,-3,0,0,0,3,4
6.77,0,2,-4,-3,-5,-4,0,-2,4,0,0,-4
6.80,0,7,0,-3,2,3,0,-2,4,0,3,-4
6.85,2,4,6,2,2,0,-3,-2,0,4,0,-4
6.87,0,0,6,-3,-3,6,2,0,11,2,-2,0
6.93,-3,0,3,0,0,3,0,0,0,-3,0,0
6.96,0,2,-4,0,0,6,-3,-2,8,2,3,0
6.99,2,4,0,-3,-5,6,-3,-2,4,0,0,-4
7.03,0,2,-4,2,0,10,0,-2,4,2,0,4
7.06,2,7,-4,0,-3,3,-5,0,4,-5,-2,-4
7.09,0,2,-4,0,2,3,-5,-2,4,2,-2,-4
7.14,0,2,0,-3,0,0,0,-5,4,2,-5,4
7.17,0,0,-8,-3,-3,3,-3,-2,8,2,0,-4
7.20,0,2,3,0,-3,3,-3,2,4,4,0,-4
7.23,0,2,-4,-5,-5,3,-3,0,4,4,3,-12
7.27,2,4,0,2,0,6,0,-7,8,4,-2,-4
7.30,2,2,6,4,-3,10,-5,-7,4,4,-2,-4
7.33,2,2,3,0,-3,3,-3,-5,0,2,-5,-4
7.36,0,0,-4,-3,-8,6,0,-2,8,0,0,-4
7.40,0,2,0,2,-3,3,-5,0,4,0,0,-8
7.43,0,4,0,-3,-5,0,-3,0,0,0,-5,0
7.46,0,2,-4,-5,-5,3,-3,0,-4,2,-2,-8
7.49,-3,4,3,-5,0,6,0,-2,4,2,0,-4
7.53,0,2,-4,0,0,0,-5,-2,-4,2,-2,-4
7.56,0,0,3,0,-3,6,2,-5,4,2,0,-8
7.59,0,4,0,2,-3,0,0,-2,0,4,0,-4
7.64,2,4,-8,-3,-3,0,-5,-7,8,7,-2,-4
7.67,0,4,3,2,-3,3,0,0,0,0,-2,-4
7.69,2,2,0,-3,-5,10,2,-5,0,0,-5,-4
7.73,2,2,0,-3,0,3,0,-2,-4,2,0,0
7.77,2,4,0,0,-3,3,2,0,4,0,0,0
7.80,0,9,3,0,0,6,-5,-2,4,7,-7,-8
7.83,0,2,0,-3,-5,6,-5,-2,0,2,-2,-4
7.86,-3,2,0,0,-3,3,2,-2,0,4,-2,4
7.90,4,0,0,-3,0,-4,-3,-2,8,0,0,-8
7.94,0,2,-8,0,-5,0,-3,-2,4,0,3,-12
7.98,4,2,-4,-3,0,0,0,0,-4,2,3,0
8.01,2,2,6,0,-3,6,-3,2,4,4,0,-8
8.04,2,2,3,0,0,3,2,-2,4,2,0,-4
8.09,-3,4,0,-3,0,6,0,0,4,-5,-2,-4
8.12,-3,2,0,0,0,3,-3,0,0,4,0,0
8.17,0,7,-16,0,-8,-4,-5,-2,4,4,-2,-4
8.20,2,0,-4,0,-3,3,0,2,8,0,-2,-8
8.23,6,4,3,-5,-3,6,0,0,8,4,0,-8
8.26,0,2,6,-3,-3,3,0,-2,0,2,-2,-12
8.30,2,2,3,0,0,3,-3,0,4,0,0,-4
