Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
0.12,-4,-45,15,78640,78640,126873,78640,78640,126873,78640,78640,126873
0.25,0,-45,23,-146,-50,15,-201,136,-85,78640,78640,126873
0.29,-4,-40,7,-148,-48,15,-201,136,-77,78640,78640,126873
0.36,0,-43,11,-151,-55,11,-199,136,-85,78640,78640,126873
0.41,2,0,0,-5,0,-4,2,-5,-4,0,0,0
0.46,2,0,0,-2,0,-12,0,-3,-8,0,0,0
0.50,4,2,0,-2,-2,-4,0,0,0,0,0,0
0.55,2,0,0,-2,0,-12,-5,0,4,-78716,-78590,-126843
0.59,0,-3,4,-5,5,-12,2,0,4,-78712,-78588,-126843
0.64,2,0,0,-7,0,-16,0,0,-4,-78714,-78588,-126839
0.68,2,-3,0,-5,-2,-8,-3,-3,0,-78716,-78590,-126835
0.75,0,0,0,0,0,-8,2,-5,0,-78712,-78592,-126843
0.80,0,0,8,-5,-2,-8,0,-3,-4,-78712,-78592,-126835
0.84,2,2,4,0,0,-12,2,0,-8,-78714,-78592,-126835
0.90,4,0,-4,-2,2,-16,0,2,4,-78712,-78592,-126835
0.95,-3,2,0,2,-2,-8,-3,-5,0,-78712,-78588,-126835
1.00,-3,2,-8,2,-5,-8,-3,-3,4,-78712,-78595,-126839
1.04,2,0,0,0,0,-8,2,-5,4,-78712,-78592,-126839
1.09,2,0,4,-5,0,-12,-3,0,0,-78714,-78590,-126835
1.13,2,0,0,0,0,-12,-3,-3,-4,-78712,-78590,-126843
1.18,0,0,8,0,-5,-8,-3,0,8,-78712,-78590,-126839
1.21,2,-3,4,0,0,-8,2,-3,4,-78714,-78590,-126839
1.26,0,0,-4,0,0,-8,2,-5,4,-78714,-78592,-126839
1.31,4,0,0,0,-2,-12,-5,0,-4,-78714,-78590,-126835
1.34,0,-5,4,-2,-2,-8,2,-3,0,-78709,-78595,-126831
1.38,0,-7,4,-7,-2,-8,-3,-3,0,-78712,-78592,-126835
1.42,4,0,4,0,-2,-4,0,-7,0,-78712,-78590,-126839
1.44,2,0,8,0,0,-4,0,-3,0,-78712,-78592,-126835
1.49,2,0,4,-7,0,-8,-5,-3,-4,-78712,-78595,-126843
1.52,0,0,-4,0,0,-8,0,-3,0,-78714,-78588,-126843
1.57,4,-5,0,-2,-5,-8,0,-3,0,-78709,-78592,-126843
1.60,2,0,0,5,0,-12,-3,-3,8,-78714,-78590,-126843
1.65,2,-5,4,-5,0,-4,-3,2,0,-78714,-78588,-126843
1.68,0,2,-4,0,2,-12,0,0,0,-78709,-78592,-126839
1.72,0,0,-4,0,-5,-16,2,-3,-8,-78714,-78588,-126835
1.76,2,-3,0,-2,-2,-12,-3,-5,8,-78716,-78590,-126831
1.80,0,0,0,-2,-2,-4,0,-3,0,-78714,-78592,-126839
1.83,2,0,4,-2,2,-16,-5,-3,-4,-78709,-78592,-126839
1.88,0,2,4,0,-2,-8,0,0,4,-78714,-78590,-126839
1.91,6,0,0,0,0,-12,2,-3,4,-78709,-78588,-126839
1.94,-5,2,4,-2,-2,-12,0,-3,0,-78714,-78592,-126839
1.97,-3,0,4,-5,2,-8,0,-3,0,-78707,-78592,-126835
2.00,2,0,0,-2,-2,-8,-3,0,4,-78707,-78588,-126835
2.03,2,2,0,-2,-2,-12,-3,-3,-4,-78714,-78592,-126839
2.08,4,0,0,-5,-2,-8,-5,-3,0,-78712,-78590,-126843
2.11,0,0,-4,2,2,-12,0,0,0,-78714,-78588,-126831
2.14,-3,5,4,0,0,-4,-3,-3,0,-78709,-78592,-126831
2.17,-3,0,4,0,0,-4,-3,-3,0,-78709,-78595,-126835
2.22,2,0,0,0,-2,-8,-5,-3,-4,-78709,-78595,-126846
2.25,4,-3,0,0,0,-8,-5,0,-4,-78709,-78595,-126839
2.30,0,5,12,-2,0,-8,0,0,0,-78714,-78592,-126843
2.33,2,2,4,0,-2,-4,0,-3,-4,-78712,-78592,-126843
2.37,2,-3,0,-5,0,-12,0,-3,4,-78714,-78590,-126835
2.41,2,2,0,-5,-2,-8,0,-5,0,-78712,-78590,-126839
2.45,-3,0,8,-7,0,-12,2,-3,-4,-78709,-78592,-126843
2.49,2,-3,0,-2,-5,-8,0,-3,0,-78709,-78592,-126839
2.51,2,2,-4,2,0,-8,2,0,0,-78709,-78592,-126835
2.55,-3,0,8,-5,0,-8,-3,2,8,-78714,-78595,-126839
2.59,4,2,0,0,0,-12,-5,-3,-4,-78712,-78590,-126839
2.62,2,2,0,2,-2,-12,-3,-3,4,-78712,-78590,-126839
2.67,0,0,0,-2,2,-16,-7,-5,0,-78712,-78590,-126839
2.73,0,2,0,-5,0,-4,0,0,-4,-78712,-78588,-126835
2.76,2,2,4,5,-2,-4,-3,-3,4,-78712,-78590,-126839
2.81,0,2,4,0,-2,-8,0,0,0,-78712,-78592,-126835
2.84,2,2,-4,-2,2,-12,2,-3,-4,-78709,-78590,-126835
2.89,2,0,4,0,-2,-4,2,5,8,-78712,-78590,-126839
2.92,2,7,0,-2,0,-16,-3,0,-4,-78712,-78590,-126835
2.96,0,0,-4,2,0,-12,-3,-3,-4,-78714,-78588,-126835
3.00,0,5,4,0,-2,-4,-3,-3,4,-78712,-78590,-126839
3.04,2,5,-4,0,-2,-12,0,-3,4,-78714,-78590,-126839
3.07,0,2,4,2,-2,-12,-3,2,0,-78712,-78592,-126839
3.12,0,2,4,-5,0,-12,0,-5,0,-78712,-78585,-126843
3.16,0,2,4,0,5,-8,-5,-5,-4,-78712,-78590,-126835
3.20,0,-3,4,-5,-2,-8,-3,0,-4,-78712,-78592,-126843
3.23,-3,5,4,0,5,-8,0,2,0,-78712,-78590,-126839
3.26,2,0,4,0,-2,-4,5,-3,4,-78709,-78588,-126839
3.29,0,-3,0,-5,2,-8,2,0,-4,-78714,-78590,-126843
3.34,2,0,4,-2,-2,-4,2,-3,0,-78709,-78590,-126835
3.37,0,0,-4,-2,2,-12,-3,0,0,-78712,-78592,-126839
3.41,2,-3,4,-7,2,-12,-3,-3,0,-78709,-78590,-126835
3.44,-3,0,4,-5,-2,0,0,2,8,-78709,-78592,-126846
3.47,2,2,4,-2,2,-8,2,0,-4,-78714,-78592,-126839
3.52,2,-3,4,2,0,-12,5,2,0,-78712,-78590,-126839
3.55,-3,-3,-4,-2,0,-12,2,-3,0,-78712,-78592,-126839
3.60,4,0,-4,-5,-2,0,-5,-3,8,-78714,-78590,-126839
3.63,0,0,4,-2,-2,-12,-3,-3,8,-78712,-78592,-126839
3.66,0,2,-4,-5,0,-8,0,-5,0,-78712,-78590,-126843
3.69,-3,2,4,0,2,-8,-3,-3,-4,-78709,-78590,-126835
3.74,0,2,0,2,5,-8,0,-3,-4,-78707,-78590,-126843
3.77,0,-3,4,-2,0,-4,5,-5,4,-78709,-78592,-126839
3.81,2,2,8,-2,0,-16,0,0,0,-78709,-78585,-126839
3.85,2,-3,0,0,-2,-12,-5,-5,0,-78712,-78588,-126839
3.87,-3,0,4,-2,-2,-4,2,-5,0,-78714,-78585,-126839
