Time(s):,Sensor1x:,Sensor1y:,Sensor1z:,Sensor2x:,Sensor2y:,Sensor2z:,Sensor3x:,Sensor3y:,Sensor3z:,Sensor4x:,Sensor4y:,Sensor4z:
0.08,78640,78640,126873,78640,78640,126873,78640,78640,126873,78640,78640,126873
0.18,-24,-36,-3,78640,78640,126873,-220,141,-108,-93,57,7
0.22,-28,-26,-11,-168,-40,-11,-220,146,-108,-93,57,3
0.28,-28,-36,-7,-175,-38,-7,-223,144,-108,-96,60,7
0.32,-21,-33,-7,-170,-38,-11,-218,141,-116,-93,60,7
0.36,-24,-36,-11,-165,-38,-3,-220,146,-108,-91,55,7
0.40,0,-3,0,0,4,0,7,3,-4,0,0,4
0.45,0,0,4,5,4,4,3,3,0,-5,0,0
0.50,-4,-3,8,0,0,0,3,5,-8,-5,3,4
0.54,0,-3,4,0,2,4,0,0,-4,0,5,4
0.59,3,0,8,-2,4,4,3,5,-8,-2,-2,-4
0.63,-2,-3,12,0,-3,4,0,7,0,-5,0,-4
0.68,0,-3,12,2,2,4,3,7,-8,-5,0,0
0.72,0,-3,8,2,2,0,0,5,-8,-2,3,-4
0.77,0,2,12,-2,0,8,-2,5,-4,0,0,-4
0.82,-2,-5,4,0,-3,4,-2,3,-4,-5,5,0
0.86,0,-3,12,0,0,0,-5,3,-4,-5,-2,4
0.91,-2,-3,8,2,2,0,0,5,-4,-5,0,-4
0.94,-4,0,4,0,2,4,-2,3,0,-2,3,4
0.98,-2,0,8,-2,0,4,0,3,-4,-2,3,0
1.03,-2,0,8,-2,-3,0,-2,3,-8,0,3,0
1.07,-4,-7,0,2,4,-4,0,3,-8,-2,-2,0
1.12,-4,0,8,2,0,0,0,5,0,-2,3,8
1.17,-2,-3,4,2,2,0,0,3,-4,0,3,4
1.21,0,-3,12,-2,4,4,5,5,-4,-2,3,0
1.26,-2,-3,4,-2,-3,0,0,5,0,-5,0,4
1.30,-2,-3,12,-2,0,4,3,0,-8,-2,0,-4
1.34,3,-7,4,2,2,4,3,3,-8,0,5,4
1.37,-7,0,8,0,0,8,0,0,0,0,3,0
1.42,-7,-3,8,2,0,8,0,5,-4,-5,3,0
1.45,-2,-3,8,2,2,8,0,3,-4,-2,3,0
1.49,0,5,4,0,2,-4,3,3,0,-5,5,4
1.53,3,0,-4,0,2,4,-2,3,-4,-2,3,0
1.58,3,-5,8,2,0,4,3,3,0,-5,0,4
1.63,-2,-3,16,-5,4,0,-2,3,0,-5,0,0
1.67,0,-3,16,7,0,8,-2,7,-8,0,3,0
1.72,-2,-5,8,-2,-3,0,-2,3,-8,-2,0,0
1.76,-2,2,4,5,0,4,-2,0,-8,-2,3,0
1.81,-2,-3,12,0,4,8,0,7,-4,-2,3,0
1.85,-2,0,4,2,2,0,0,3,-4,-2,5,4
1.90,-2,2,12,0,-3,0,-5,0,-4,-5,3,-4
1.95,-2,0,8,0,0,0,3,5,0,-7,3,8
1.99,-4,0,4,0,-3,4,0,5,-4,-5,0,0
2.04,-2,-7,8,0,0,8,0,0,-4,-7,3,0
2.08,-2,-3,8,-2,2,0,-2,0,-4,0,0,-4
2.13,0,0,8,2,0,-4,0,0,-4,-2,-2,0
2.18,-2,0,0,0,0,4,3,3,0,-5,3,4
2.22,-7,-3,8,0,0,4,5,3,0,-5,7,-4
2.27,-2,-5,8,0,0,11,0,3,0,-5,3,4
2.32,0,2,8,0,2,0,3,0,0,-2,0,-4
2.36,-2,0,8,0,4,0,0,5,0,0,5,-4
2.41,-4,-5,8,0,2,0,0,0,-4,-5,3,-4
2.45,0,0,8,2,2,0,3,5,0,-5,3,-4
2.50,-2,0,12,2,4,-4,5,3,-4,-5,0,0
2.55,3,0,0,2,4,4,0,5,-4,-7,-2,-4
2.59,-4,-5,8,2,0,-4,3,5,-12,-2,0,0
2.62,-2,0,8,2,0,8,5,3,-8,-2,3,0
2.66,0,0,12,2,2,-4,0,5,-4,-7,-2,8
2.71,3,-3,4,2,2,4,0,0,-4,-2,-2,0
2.74,-2,-5,8,-2,0,4,0,5,-8,-2,3,0
2.78,-2,-3,12,-2,2,4,3,0,0,-2,3,0
2.82,0,2,8,0,0,4,0,5,-8,-2,0,0
2.85,0,-5,4,0,0,0,3,5,-8,-2,3,4
2.89,0,-5,8,7,0,4,3,3,-4,-2,3,4
2.93,-2,-5,8,2,-3,4,3,3,-4,-2,0,0
2.96,3,2,8,0,0,0,0,7,-4,-2,3,0
2.99,-2,-5,8,0,0,0,3,3,-4,-5,3,0
3.03,-2,-5,8,0,2,0,0,-2,-8,0,3,0
3.07,-2,-5,4,2,-8,4,-2,5,-4,-5,3,0
3.10,-2,-5,8,-5,0,8,3,3,-12,-5,3,8
3.14,0,-3,4,2,0,0,3,3,-8,0,5,8
3.19,-2,-5,4,0,-3,0,3,3,-4,-2,0,8
3.22,-2,0,0,0,-3,-4,3,0,-4,0,-2,0
3.26,-4,-5,8,-2,4,-4,5,3,-4,0,3,0
3.30,0,-5,4,5,0,8,3,3,-8,-5,5,-4
3.33,0,0,0,0,0,0,3,5,-8,-2,0,0
3.37,-2,-3,8,2,-3,4,-2,5,-8,-2,0,-4
3.40,0,-5,12,-2,2,4,3,0,0,-2,3,4
3.44,0,-5,4,5,2,8,3,5,-4,-5,-2,-4
3.47,0,-3,12,0,2,0,-5,3,-4,0,3,-4
3.51,-2,-3,4,-10,-5,4,0,5,-4,0,0,-4
3.54,-4,-3,4,-10,-5,4,0,3,0,-2,-2,0
3.57,-2,0,0,-26,-8,8,-2,3,0,-2,0,-7
3.62,-7,5,-4,-31,-17,8,3,-5,4,-5,-5,-4
3.66,-2,0,-4,-38,-12,8,3,3,-4,0,-2,0
3.69,-14,-3,-11,-43,-17,14,-2,5,-8,0,-5,-4
3.74,-16,2,-11,-46,-12,14,0,0,-8,7,-2,4
3.77,-14,-3,-15,-48,-12,8,0,3,0,-2,-7,4
3.81,-16,-3,-11,-48,-17,8,3,5,-4,0,-2,-4
3.85,-12,2,-11,-41,-20,11,5,5,-8,0,-5,-4
3.89,-4,-3,0,-29,-12,14,0,5,-4,-2,0,0
3.93,0,2,4,-14,-5,0,3,-2,-4,-2,-2,0
3.96,-2,-3,8,-10,-5,0,-2,5,-8,-5,0,0
4.00,0,-3,4,-2,0,4,0,-2,-8,0,3,0
4.03,-4,2,4,-5,0,8,3,3,-4,0,3,8
4.07,0,2,4,-7,-3,0,3,3,-12,-2,7,-4
4.12,0,-3,8,-5,0,8,-2,-2,-8,-9,-2,8
4.16,-2,-5,4,-5,4,4,3,0,0,-12,3,12
4.20,3,0,4,-12,7,4,3,-2,-4,-29,-5,20
4.24,-2,-3,4,-17,12,-8,3,-5,-8,-26,0,31
4.28,0,-3,8,-14,14,-4,-2,-5,-4,-29,-5,39
4.32,0,-3,4,-12,12,-4,0,3,0,-29,5,43
4.36,-2,5,0,-12,19,-8,-5,0,-4,-31,3,51
4.40,-2,0,8,-14,16,-16,-7,-7,-4,-36,-2,54
4.44,-7,0,4,-12,12,-4,0,-7,0,-38,5,54
4.47,5,-3,8,-14,19,-8,0,-2,4,-45,0,58
4.51,-4,-5,4,-7,14,-12,-2,-5,0,-41,0,58
4.55,-7,2,8,-14,14,-12,-5,-2,0,-36,0,58
4.59,0,0,4,-14,12,0,3,-5,4,-29,0,43
4.63,0,2,12,-12,12,-4,0,-2,-8,-29,-7,31
4.65,0,0,12,-5,9,-4,3,-2,-4,-24,-5,16
4.69,-2,0,4,-5,7,-4,3,-2,-8,-17,-2,12
4.73,-2,-3,8,-2,4,-8,-2,0,-8,-9,0,12
4.76,-2,-5,4,-5,4,0,3,5,-8,-12,-2,12
4.80,0,0,0,0,2,0,-2,0,-4,-9,3,8
4.83,-2,0,12,0,4,-4,0,5,-8,-12,0,4
4.87,0,-3,8,0,4,11,-2,7,8,-2,-2,8
4.91,-2,0,8,-2,0,4,7,10,23,-2,0,12
4.95,0,0,4,0,2,4,31,12,23,0,-5,12
4.97,0,-5,4,0,2,0,43,10,27,3,-2,12
5.01,0,0,4,0,0,4,67,17,39,3,-9,8
5.05,-4,-5,12,-2,0,-4,70,17,39,3,-12,12
5.09,3,-3,8,0,2,4,84,22,58,0,-14,12
5.12,0,-5,12,0,2,4,96,31,62,7,-19,20
5.16,-4,-5,0,-2,0,8,99,36,62,7,-24,20
5.20,0,-3,8,0,2,-8,101,29,66,3,-21,16
5.23,-4,-3,8,-7,2,-4,99,24,50,3,-17,16
